,Open,High,Low,Close,Volume,Dividends,Stock Splits,value
1980-12-12,0.09905775636434555,0.09948841836038883,0.09905775636434555,0.09905775636434555,469033600,0.0,0.0,0.09927308736236719
1980-12-15,0.09432047943067064,0.09432047943067064,0.09388981759548187,0.09388981759548187,175884800,0.0,0.0,0.09410514851307625
1980-12-16,0.08742917845854964,0.08742917845854964,0.08699852228164673,0.08699852228164673,105728000,0.0,0.0,0.08721385037009818
1980-12-17,0.08915181457996368,0.08958247650673355,0.08915181457996368,0.08915181457996368,86441600,0.0,0.0,0.08936714554334863
1980-12-18,0.09173651039600372,0.09216716640920217,0.09173651039600372,0.09173651039600372,73449600,0.0,0.0,0.09195183840260295
1980-12-19,0.09733512997627258,0.09776579201698381,0.09733512997627258,0.09733512997627258,48630400,0.0,0.0,0.0975504609966282
1980-12-22,0.1020723357796669,0.10250376813218293,0.1020723357796669,0.1020723357796669,37363200,0.0,0.0,0.10228805195592491
1980-12-23,0.1063796952366829,0.10681035707242559,0.1063796952366829,0.10637969523668289,46950400,0.0,0.0,0.10659502615455424
1980-12-24,0.11197826266288757,0.11240892449118167,0.11197826266288757,0.11197826266288757,48003200,0.0,0.0,0.11219359357703462
1980-12-26,0.12231479585170747,0.12274545749612113,0.12231479585170747,0.12231479585170746,55574400,0.0,0.0,0.1225301266739143
1980-12-29,0.12403750419616699,0.12446816609496715,0.12403750419616699,0.12403750419616699,93161600,0.0,0.0,0.12425283514556706
1980-12-30,0.12145355285766238,0.12145355285766238,0.12102290242910384,0.12102290242910385,68880000,0.0,0.0,0.1212382276433831
1980-12-31,0.11800823687537863,0.11800823687537863,0.11757757514715195,0.11757757514715195,35750400,0.0,0.0,0.1177929060112653
1981-01-02,0.11886958032846451,0.11973090401314519,0.11886958032846451,0.11886958032846451,21660800,0.0,0.0,0.11930024217080484
1981-01-05,0.11671634720579324,0.11671634720579324,0.11628569662570953,0.11628569662570953,35728000,0.0,0.0,0.11650102191575139
1981-01-06,0.11154762255688126,0.11154762255688126,0.11111696064472198,0.11111696064472198,45158400,0.0,0.0,0.11133229160080163
1981-01-07,0.10681035707242559,0.10681035707242559,0.1063796952366829,0.10637969523668289,55686400,0.0,0.0,0.10659502615455424
1981-01-08,0.10465709065507599,0.10465709065507599,0.10422644019126892,0.10422644019126892,39827200,0.0,0.0,0.10444176542317246
1981-01-09,0.1098250225186348,0.11025568457239322,0.1098250225186348,0.1098250225186348,21504000,0.0,0.0,0.110040353545514
1981-01-12,0.10982501066268734,0.10982501066268734,0.10896369814872742,0.10896369814872742,23699200,0.0,0.0,0.10939435440570738
1981-01-13,0.10551841909338118,0.10551841909338118,0.1050877571105957,0.1050877571105957,23049600,0.0,0.0,0.10530308810198843
1981-01-14,0.10551843047142029,0.10594909250064401,0.10551843047142029,0.10551843047142029,14291200,0.0,0.0,0.10573376148603214
1981-01-15,0.10767173022031785,0.10853304278701656,0.10767173022031785,0.10767173022031784,14067200,0.0,0.0,0.10810238650366721
1981-01-16,0.10724100803785502,0.10724100803785502,0.10681034624576569,0.10681034624576569,13395200,0.0,0.0,0.10702567714181035
1981-01-19,0.11327029764652252,0.11370095970674056,0.11327029764652252,0.11327029764652252,41574400,0.0,0.0,0.11348562867663153
1981-01-20,0.11025568457239322,0.11025568457239322,0.1098250225186348,0.1098250225186348,30083200,0.0,0.0,0.110040353545514
1981-01-21,0.11197826266288757,0.1128395748189062,0.11197826266288757,0.11197826266288757,15904000,0.0,0.0,0.1124089187408969
1981-01-22,0.11327029764652252,0.11413162176695858,0.11327029764652252,0.11327029764652252,35548800,0.0,0.0,0.11370095970674055
1981-01-23,0.113270301260819,0.11370096333477886,0.11283963918685914,0.11283963918685913,11222400,0.0,0.0,0.113270301260819
1981-01-26,0.11154762255688126,0.11154762255688126,0.11111696064472198,0.11111696064472198,24640000,0.0,0.0,0.11133229160080163
1981-01-27,0.1111169635220257,0.1111169635220257,0.1102556511759758,0.1102556511759758,23699200,0.0,0.0,0.11068630734900076
1981-01-28,0.10724100803785502,0.10724100803785502,0.10681034624576569,0.10681034624576569,28156800,0.0,0.0,0.10702567714181035
1981-01-29,0.10336509689363788,0.10336509689363788,0.10293443500995636,0.10293443500995636,43904000,0.0,0.0,0.10314976595179712
